time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm,run_number,time_delta
0.003,,5319000.0,853000.0,2090000.0,1471000.0,105000.0,6079000.0,20000.0,14000.0,11000.0,207000.0,72000.0,63000.0,2459000.0,5500000.0,7959000.0,25000000.0,109.4,105.8,88.16,102.875,108.6116,106.8116,100.2866,108.725,105.8,1.0,0 days 00:00:00.003000
0.204,,5316000.0,874000.0,1649000.0,1189000.0,5220000.0,5891000.0,20000.0,11000.0,11000.0,207000.0,72000.0,63000.0,2434000.0,4604000.0,7038000.0,25000000.0,109.4,106.25,88.16,102.9866,108.725,107.0366,100.4,108.8366,105.9116,1.0,0 days 00:00:00.204000
0.404,,5316000.0,853000.0,1615000.0,1199000.0,3778000.0,5891000.0,30000.0,11000.0,11000.0,207000.0,74000.0,63000.0,2465000.0,3963000.0,6428000.0,25000000.0,109.4,105.8,88.16,102.9866,108.725,107.0366,100.4,108.8366,105.9116,1.0,0 days 00:00:00.404000
0.604,,5316000.0,874000.0,1339000.0,1927000.0,5099000.0,5891000.0,20000.0,11000.0,11000.0,287000.0,77000.0,63000.0,2451000.0,4751000.0,7202000.0,25000000.0,109.4,105.8,88.16,102.9866,108.725,107.0366,100.4,108.8366,105.9116,1.0,0 days 00:00:00.604000
0.804,,5386000.0,914000.0,1829000.0,1000000.0,5708000.0,6023000.0,20000.0,11000.0,11000.0,287000.0,74000.0,63000.0,2473000.0,4308000.0,6781000.0,25000000.0,109.4,106.25,88.16,102.9866,108.725,107.0366,100.4,108.8366,105.9116,1.0,0 days 00:00:00.804000
1.004,,5386000.0,874000.0,1544000.0,1820000.0,105000.0,6023000.0,20000.0,14000.0,11000.0,287000.0,72000.0,63000.0,2398000.0,3901000.0,6299000.0,25000000.0,109.4,106.25,88.16,102.9866,108.725,107.0366,100.4,108.8366,105.9116,1.0,0 days 00:00:01.004000
1.204,,5386000.0,935000.0,1315000.0,1940000.0,2661000.0,6023000.0,30000.0,11000.0,7000.0,315000.0,68000.0,63000.0,2439000.0,3998000.0,6437000.0,25000000.0,109.4,106.25,88.16,103.1,108.8366,107.15,100.5116,108.95,106.1366,1.0,0 days 00:00:01.204000
1.403,,5377000.0,1239000.0,1568000.0,992000.0,105000.0,6075000.0,20000.0,14000.0,14000.0,315000.0,68000.0,63000.0,2461000.0,4196000.0,6657000.0,25000000.0,109.4,106.25,88.16,103.1,108.8366,107.15,100.5116,108.95,106.1366,1.0,0 days 00:00:01.403000
1.604,,5377000.0,1178000.0,1758000.0,766000.0,105000.0,6075000.0,20000.0,14000.0,7000.0,315000.0,70000.0,63000.0,2419000.0,3681000.0,6100000.0,25000000.0,109.4,106.25,88.16,103.1,108.8366,107.15,100.5116,108.95,106.1366,1.0,0 days 00:00:01.604000
1.804,,5377000.0,1076000.0,1853000.0,1500000.0,105000.0,6075000.0,20000.0,11000.0,11000.0,314000.0,72000.0,63000.0,2382000.0,3967000.0,6349000.0,25000000.0,109.4,106.25,88.16,103.1,108.8366,107.15,100.5116,108.95,106.1366,1.0,0 days 00:00:01.804000
2.003,,5420000.0,914000.0,2233000.0,1199000.0,105000.0,6105000.0,20000.0,73000.0,11000.0,314000.0,79000.0,63000.0,2428000.0,4047000.0,6475000.0,25000000.0,109.4,106.25,88.16,103.1,108.8366,107.15,100.5116,108.95,106.1366,1.0,0 days 00:00:02.003000
2.204,,5420000.0,935000.0,2114000.0,987000.0,105000.0,6105000.0,30000.0,11000.0,11000.0,314000.0,72000.0,63000.0,2434000.0,3838000.0,6272000.0,25000000.0,109.4,106.25,88.16,103.325,108.95,107.2616,100.625,109.175,106.25,1.0,0 days 00:00:02.204000
2.404,,5420000.0,1016000.0,1473000.0,798000.0,105000.0,6105000.0,30000.0,14000.0,11000.0,325000.0,79000.0,63000.0,2408000.0,4138000.0,6546000.0,25000000.0,109.4,106.25,88.16,103.325,108.95,107.2616,100.625,109.175,106.25,1.0,0 days 00:00:02.404000
2.604,,5432000.0,1149000.0,1496000.0,921000.0,105000.0,6136000.0,40000.0,11000.0,11000.0,325000.0,79000.0,63000.0,2346000.0,3912000.0,6258000.0,25000000.0,109.4,106.25,88.16,103.325,108.95,107.2616,100.625,109.175,106.25,1.0,0 days 00:00:02.604000
2.805,,5432000.0,1036000.0,1458000.0,956000.0,105000.0,6136000.0,30000.0,14000.0,11000.0,325000.0,72000.0,65000.0,2348000.0,3935000.0,6283000.0,25000000.0,109.4,106.25,88.16,103.325,108.95,107.2616,100.625,109.175,106.25,1.0,0 days 00:00:02.805000
3.003,,5408000.0,874000.0,2043000.0,1134000.0,105000.0,6141000.0,30000.0,14000.0,11000.0,312000.0,74000.0,63000.0,2397000.0,8213000.0,10610000.0,25000000.0,109.4,106.25,88.16,103.325,108.95,107.2616,100.625,109.175,106.25,1.0,0 days 00:00:03.003000
3.204,,5408000.0,914000.0,2161000.0,1613000.0,105000.0,6141000.0,20000.0,73000.0,7000.0,312000.0,79000.0,63000.0,2430000.0,4537000.0,6967000.0,25000000.0,109.4,106.25,88.16,103.4366,109.175,107.375,100.7366,109.2866,106.475,1.0,0 days 00:00:03.204000
3.404,,5408000.0,914000.0,1387000.0,711000.0,105000.0,6141000.0,20000.0,656000.0,4000.0,256000.0,86000.0,63000.0,2498000.0,4543000.0,7041000.0,25000000.0,109.4,106.25,88.16,103.4366,109.175,107.375,100.7366,109.2866,106.475,1.0,0 days 00:00:03.404000
3.603,,5392000.0,1056000.0,1354000.0,2076000.0,105000.0,6127000.0,20000.0,30000.0,11000.0,256000.0,74000.0,63000.0,2489000.0,9579000.0,12068000.0,25000000.0,109.4,106.7,88.16,103.4366,109.175,107.375,100.7366,109.2866,106.475,1.0,0 days 00:00:03.603000
3.804,,5392000.0,935000.0,2043000.0,737000.0,105000.0,6127000.0,20000.0,30000.0,11000.0,256000.0,72000.0,63000.0,2578000.0,3726000.0,6304000.0,25000000.0,109.4,106.7,88.16,103.4366,109.175,107.375,100.7366,109.2866,106.475,1.0,0 days 00:00:03.804000
4.004,,5392000.0,955000.0,1686000.0,711000.0,105000.0,6127000.0,10000.0,30000.0,11000.0,290000.0,77000.0,65000.0,2555000.0,5126000.0,7681000.0,25000000.0,109.4,106.7,88.16,103.4366,109.175,107.375,100.7366,109.2866,106.475,1.0,0 days 00:00:04.004000
4.204,,5295000.0,914000.0,1473000.0,723000.0,105000.0,6092000.0,20000.0,30000.0,7000.0,290000.0,72000.0,63000.0,2515000.0,7978000.0,10493000.0,25000000.0,109.4,106.7,88.16,103.55,109.2866,107.6,100.85,109.4,106.5866,1.0,0 days 00:00:04.204000
